rank,target,source,transcription
695,przypisać,призначити,пшиписач
696,odłączyć,від’єднати,одлончич
697,podłączyć,під’єднати,подлончич
698,aktywować,активувати,активовач
699,dezaktywować,деактивувати,деактивовач
700,stan,стан,стан
701,status,статус,статус
702,warunek wstępny,попередня умова,варунек встемпни
703,założenie,припущення; основа,зауоженє
704,scenariusz alternatywny,альтернативний сценарій,сценарюш альтернативни
705,konsekwentny,послідовний,консеквентни
706,niespójność,неузгодженість,нєспуйнощч
707,spójność,узгодженість; цілісність,спуйнощч
708,przejrzystość,прозорість,пшежистощч
709,nieprzejrzysty,непрозорий,нєпшежисти
710,jednoznaczny,однозначний,єднозначни
711,wieloznaczny,багатозначний,вєлозначни
712,interpretować błędnie,тлумачити неправильно,інтерпретовач блeнєнє
713,doprecyzować,уточнити,допрецижовач
714,wyjaśnić,пояснити,вияшніч
715,skorygować,виправити; скоригувати,скориговач
716,uzupełnić,доповнити,узупеунич
717,pominąć,пропустити,поміньонч
718,uwzględnić,врахувати,увзґлендніч
719,zignorować,проігнорувати,зiґнороваć
720,potwierdzić ponownie,підтвердити повторно,потвєрджич поновнє
721,zaakceptować warunkowo,схвалити умовно,заакцептовач варунково
722,odrzucić częściowo,відхилити частково,оджучич ченщчово
723,wdrożyć pilotażowo,впровадити пілотно,вдрошич пілотажово
724,uruchomić,запустити,урухоміч
725,zatrzymać,зупинити,затшимаць
726,wznowić,відновити,взновіч
727,tymczasowy,тимчасовий,тимчасови
728,docelowo,зрештою; в перспективі,доцелово
729,przejściowy,перехідний,пшейшчови
730,finalny,фінальний; остаточний,фінальни
731,etap końcowy,завершальний етап,етап концови
732,warunki końcowe,кінцеві умови,варункі концове
733,rozliczenie etapu,підсумок етапу,рошліченє етапу
734,podsumować,підсумувати,подсумовач
735,zaakceptować wynik,схвалити результат,заакцептовач виник
736,odrzucić wynik,відхилити результат,оджучич виник
737,przekazać dalej,передати далі,пшекaзач далєй
738,oddelegować,делегувати,одделеґовач
739,zatwierdzić formalnie,затвердити формально,затвєрджич формально
740,obowiązywać natychmiast,набирати чинності негайно,обовйонзувач натихмяст
741,termin obowiązywania,строк дії,термін обовйонзування
742,utracić ważność,втратити чинність,утрачич важность
743,przedłużenie terminu,продовження строку,пшедлуженє терміну
744,skrócenie terminu,скорочення строку,скручeнє терміну
745,przywrócenie terminu,відновлення строку,пшивручeнє терміну
746,termin ostateczny,остаточний строк,термін остаточни
747,niedotrzymanie terminu,порушення строку,нєдотршиманє терміну
748,odpowiedzialność za termin,відповідальність за строки,одповєджальність за термін
749,kontrola terminów,контроль строків,контроль термінув
750,zarządzanie czasem,управління часом,зажонджанє часем
751,łyżka,ложка,лижка
752,widelec,вилка,відєлец
753,nóż,ніж,нуж
754,talerz,тарілка,талєж
755,szklanka,склянка,шклянка
756,kubek,чашка; кухоль,кубек
757,miska,миска,міска
758,garnek,каструля,ґарнек
759,patelnia,пательня,пателня
760,czajnik,чайник,чайнік
761,stół,стіл,стул
762,krzesło,стілець,кшесло
763,kanapa,диван,канапа
764,łóżko,ліжко,лужко
765,szafa,шафа,шафа
766,półka,полиця,пулка
767,lodówka,холодильник,лодувка
768,piekarnik,духовка,пєкарнік
769,kuchenka,плита,кухенка
770,zlew,мийка,злев
771,łazienka,ванна кімната,важєнка
772,prysznic,душ,пришніц
773,wanna,ванна,ванна
774,ręcznik,рушник,ренчнік
775,mydło,мило,мидло
776,szczoteczka,зубна щітка,шчотечка
777,pasta,зубна паста,паста
778,grzebień,гребінець,ґжебєнь
779,ubranie,одяг,убранє
780,koszula,сорочка,кошуля
781,spodnie,штани,споднє
782,sukienka,сукня,сукєнка
783,buty,взуття,бути
784,kurtka,куртка,куртка
785,czapka,шапка,чапка
786,skarpetki,шкарпетки,скарпетки
787,torebka,сумка,торебка
788,plecak,рюкзак,плецак
789,portfel,гаманець,портфел
790,klucz,ключ,клю́ч
791,drzwi,двері,джві
792,okno,вікно,окно
793,ściana,стіна,щчяна
794,podłoga,підлога,подлоґа
795,sufit,стеля,суфіт
796,lampa,лампа,лампа
797,żarówka,лампочка,жарувка
798,telefon,телефон,телефон
799,ładowarka,зарядка,ладоварка
800,pilot,пульт,пілот
801,głowa,голова,глова
802,twarz,обличчя,тфаш
803,oko,око,око
804,ucho,вухо,ухо
805,nos,ніс,нос
806,usta,губи; рот,уста
807,ząb,зуб,зомб
808,język,язик,єнзик
809,szyja,шия,шия
810,ramię,плече; рука,рамєнє
811,łokieć,лікоть,локєч
812,nadgarstek,зап’ястя,надгарстек
813,dłoń,долоня,длонь
814,palec,палець,палєц
815,paznokieć,ніготь,пазнокєч
816,plecy,спина,плеци
817,klatka piersiowa,груди,клятка пєрсьова
818,brzuch,живіт,бжух
819,noga,нога,нога
820,kolano,коліно,коляно
821,stopa,ступня,стопа
822,pięta,п’ята,пєнта
823,skóra,шкіра,скура
824,włosy,волосся,влоси
825,broda,борода,брода
826,rodzina,сім’я,родзіна
827,ojciec,батько,ойцєц
828,matka,мати,матка
829,rodzice,батьки,родзіце
830,syn,син,син
831,córka,дочка,цурка
832,brat,брат,брат
833,siostra,сестра,сьостра
834,dziadek,дідусь,джядек
835,babcia,бабуся,бабця
836,wnuk,онук,внук
837,wnuczka,онука,внучка
838,mąż,чоловік,монж
839,żona,дружина,жона
840,dziecko,дитина,джєцко
841,ludzie,люди,луджє
842,człowiek,людина,чловєк
843,znajomy,знайомий,знайоми
844,sąsiad,сусід,сонсяд
845,pracować,працювати,працовач
846,odpoczywać,відпочивати,одпочивaч
847,spać,спати,спач
848,wstać,встати,встач
849,iść,йти,ішч
850,wrócić,повернутися,вручич
851,jeść,їсти,єшч
852,pić,пити,піч
853,gotować,готувати,ґотовач
854,smażyć,смажити,смажич
855,gotowy,готовий,ґотови
856,śniadanie,сніданок,шняданє
857,obiad,обід,обяд
858,kolacja,вечеря,коляція
859,chleb,хліб,хлєб
860,bułka,булка,булка
861,masło,масло,масло
862,ser,сир,сер
863,jajko,яйце,яйко
864,mleko,молоко,млєко
865,mięso,м’ясо,мєнсо
866,kurczak,курка; курятина,курчак
867,ryba,риба,риба
868,warzywa,овочі,важива
869,owoce,фрукти,овоцe
870,jabłko,яблуко,яблко
871,banan,банан,банан
872,ziemniak,картопля,жємняк
873,ryż,рис,риж
874,makaron,макарони,макарон
875,zupa,суп,зупа
876,sól,сіль,суль
877,cukier,цукор,цукір
878,pieprz,перець,пєпш
879,woda,вода,вода
880,sok,сік,сок
881,kawa,кава,кава
882,herbata,чай,хербата
883,ciasto,тістечко; торт,чясто
884,deser,десерт,десер
885,smaczny,смачний,смачни
886,głodny,голодний,ґлодни
887,syt,ситий,сит
888,kupować,купувати,купoвач
889,płacić,платити,плачич
890,cena,ціна,цена
891,tani,дешевий,тані
892,drogi,дорогий,дроґі
893,sklep,магазин,склеп
894,rynek,ринок,ринек
895,kolejka,черга,колєйка
896,paragon,чек,параґон
897,torba,пакет; сумка,торба
898,ważyć,важити,важич
899,kilogram,кілограм,кілограм
900,litr,літр,літр
901,miasto,місто,място
902,ulica,вулиця,улiца
903,plac,площа,пляц
904,skrzyżowanie,перехрестя,скшижованє
905,chodnik,тротуар,ходнік
906,przystanek,зупинка,пшистанек
907,autobus,автобус,аутобус
908,tramwaj,трамвай,трамвай
909,metro,метро,метро
910,pociąg,поїзд,почонґ
911,dworzec,вокзал,дворец
912,bilet,квиток,білет
913,kierunek,напрямок,кєрунек
914,mapa,карта,мапа
915,centrum,центр,центрум
916,blisko,близько,бліско
917,dalej,далі,далєй
918,prosto,прямо,просто
919,lewo,ліво,лєво
920,prawo,право,право
921,skręcić,повернути,скренчич
922,przejście,перехід,пшейшчє
923,światło,світло,швятло
924,zebra,пішохідний перехід,зебра
925,most,міст,мост
926,rzeka,річка,жeка
927,park,парк,парк
928,sklep spożywczy,продуктовий магазин,склеп споживчи
929,apteka,аптека,аптeка
930,szpital,лікарня,шпіталь
931,szkoła,школа,школа
932,przedszkole,дитячий садок,пшедшколе
933,urząd,установа; офіс,уржонд
934,poczta,пошта,пошта
935,bank,банк,банк
936,restauracja,ресторан,рестауpація
937,kawiarnia,кав’ярня,кафярня
938,hotel,готель,хотел
939,hostel,хостел,хостел
940,parking,парковка,паркінґ
941,stacja,станція,стація
942,wejście,вхід,вєйшчє
943,wyjście,вихід,вийшчє
944,otwarte,відкрито,отвартe
945,zamknięte,зачинено,замкнєнтe
946,godzina,година,годзіна
947,dzisiaj,сьогодні,джісяй
948,jutro,завтра,ютро
949,wczoraj,вчора,вчорай
950,zawsze,завжди,завше
951,nigdy,ніколи,ніґди
952,czasem,іноді,часем
953,często,часто,ченсто
954,rano,вранці,рано
955,wieczór,вечір,вєчур
956,noc,ніч,ноц
957,tydzień,тиждень,тиджень
958,miesiąc,місяць,мєсьонц
959,rok,рік,рок
960,pogoda,погода,погода
961,słońce,сонце,своньце
962,deszcz,дощ,дешч
963,śnieg,сніг,шнєґ
964,wiatr,вітер,вятр
965,ciepło,тепло,чєпло
966,zimno,холодно,жимно
967,ładny,гарний,ладни
968,brzydki,поганий; некрасивий,бжидкі
969,łatwy,легкий,латви
970,trudny,складний,трудни
971,szybko,швидко,шибко
972,wolno,повільно,вольнo
973,dobrze,добре,добже
974,źle,погано,зле
975,raz,раз; один раз,раз
976,ile,скільки,іле
977,dlaczego,чому,длячего
978,ponieważ,тому що,понєваж
979,jeżeli,якщо,єжелі
980,albo,або,альбо
981,też,теж,теж
982,tylko,тільки,тилько
983,wszystko,все,вшистко
984,coś,щось,цош
985,nic,нічого,ніц
986,ktoś,хтось,ктось
987,nikt,ніхто,нікт
988,proszę,будь ласка; прошу,проше
989,dziękuję,дякую,джєнкую
990,przepraszam,перепрошую; вибачте,пшепрашам
991,smacznego,смачного,смачнеґо
992,na zdrowie,будьмо; на здоров’я,на здоровє
993,do zobaczenia,до побачення,до зобаченя
994,cześć,привіт; па-па,чешч
995,dzień dobry,добрий день,джень добри
996,dobranoc,на добраніч,добраноц
997,gotowe,готово,готове
998,potrzebować,потребувати,потршебовач
999,wystarczyć,вистачити,вистарчич
1000,udać się,вдалося; пощастило,удач ше
1001,otwierać,відкривати,отвєрач
1002,zamykać,закривати,замикaч
1003,włączać,вмикати,влончач
1004,wyłączać,вимикати,вилончач
1005,brać,брати,брач
1006,dawać,давати,давач
1007,nieść,нести,нєшч
1008,kłaść,класти,клашч
1009,szukać,шукати,шукач
1010,znaleźć,знайти,зналєшч
1011,gubić,губити,ґубіч
1012,myć,мити,мич
1013,sprzątać,прибирати,спшонтaч
1014,odkurzać,пилососити,одкуржач
1015,zamiatać,підмітати,замятач
1016,prasować,прасувати,прасовач
1017,prać,прати,прач
1018,wieszać,вивішувати,вєшач
1019,składać,складати,склaдач
1020,naprawiać,ремонтувати,направяч
1021,popsuć,зламати,попсуч
1022,działać,працювати; діяти,джялaч
1023,przestać,припинити,пшестач
1024,zacząć,почати,зачоншч
1025,kończyć,закінчувати,кончич
1026,czytać,читати,читач
1027,pisać,писати,пісaч
1028,słuchać,слухати,свухач
1029,mówić,говорити,мувіч
1030,pytać,питати,питач
1031,odpowiadać,відповідати,одповядайч
1032,uczyć się,вчитися,учич ше
1033,pamiętać,пам’ятати,паментaч
1034,zapomnieć,забути,запомнєч
1035,rozumieć,розуміти,розумєч
1036,nie rozumieć,не розуміти,нє розумєч
1037,lubić,любити,любіч
1038,nie lubić,не любити,нє любіч
1039,chcieć,хотіти,хчєч
1040,móc,могти; мати змогу,муц
1041,musieć,мусити,мушєч
1042,potrzebować,потребувати,потршебовач
1043,próbować,пробувати,пробовач
1044,udać się,вдалося; пощастило,удач ше
1045,spotkać,зустріти,споткач
1046,odwiedzić,відвідати,одвєджич
1047,zostać,залишитись; стати,зостач
1048,wracać,повертатися,врацач
1049,wychodzić,виходити,виходжич
1050,wchodzić,входити,входжич
1051,kanapka,бутерброд,канапка
1052,sałatka,салат,сауатка
1053,zupa dnia,суп дня,зупа дня
1054,danie,страва,данє
1055,porcja,порція,порця
1056,menu,меню,меню
1057,rachunek,рахунок,рахунок
1058,napiwek,чайові,напівек
1059,stołówka,їдальня,стувувка
1060,przerwa obiadowa,обідня перерва,пшэрва обядова
1061,biuro,офіс,бюро
1062,biurko,письмовий стіл,бюрко
1063,krzesło biurowe,офісний стілець,кшесло бюрове
1064,komputer,комп’ютер,компютер
1065,klawiatura,клавіатура,клавіатура
1066,myszka,миша (комп’ютерна),мишкa
1067,drukarka,принтер,друкарка
1068,papier,папір,папєр
1069,dokument,документ,документ
1070,teczka,папка,течка
1071,segregator,реєстратор; папка,сеґреґатор
1072,notatka,нотатка,нотатка
1073,termin spotkania,час зустрічі,термін спотканя
1074,zebranie,нарада,зебранє
1075,przełożony,керівник,пшэложони
1076,współpracownik,колега,вспулпрацовнік
1077,klient,клієнт,клієнт
1078,umówić się,домовитися,умувіч ше
1079,odwołać spotkanie,скасувати зустріч,одвоуач спотканє
1080,urząd,установа,уржонд
1081,urzędnik,службовець,уржонднік
1082,okienko,віконце (в установі),окєнко
1083,kolejność,черговість,колєйнощч
1084,formularz,бланк; форма,формулярш
1085,wniosek,заява,вньосек
1086,podpis,підпис,подпіс
1087,pieczątka,печатка,пєчонтка
1088,zaświadczenie,довідка,защвядченє
1089,dowód osobisty,посвідчення особи,довуд особісти
1090,paszport,паспорт,пашпорт
1091,adres,адреса,адрес
1092,numer telefonu,номер телефону,нумер телефону
1093,godziny otwarcia,години роботи,ґодзіни отварча
1094,kasa,каса,каса
1095,opłata skarbowa,державний збір,опуата скарбова
1096,termin wizyty,дата візиту,термін візити
1097,czekać,чекати,чекач
1098,złożyć dokumenty,подати документи,зложич документі
1099,odebrać dokument,забрати документ,одебрач документ
1100,sprawa urzędowa,офіційна справа,справа уржондова
1101,zamówienie,замовлення,замувєнє
1102,zamówić,замовити,замувіч
1103,rezerwacja,бронювання; резервування,резервація
1104,rezerwować,бронювати,резервовач
1105,dostawa,доставка,достава
1106,dostarczyć,доставити,достарчич
1107,na miejscu,на місці,на мєйсцу
1108,na wynos,на виніс,на винос
1109,otwarty,відкритий,отварти
1110,zamknięty,зачинений,замкнєнти
1111,godzina pracy,робочий час,ґодзіна працы
1112,dyżur,чергування,дижур
1113,zmiana,зміна,змяна
1114,przerwa,перерва,пшэрва
1115,obowiązki,обов’язки,обовйонки
1116,zakres obowiązków,коло обов’язків,закрес обовйонзкув
1117,stanowisko,посада,становіско
1118,etat,ставка; повна зайнятість,етат
1119,część etatu,неповна ставка,ченщч етату
1120,wynagrodzenie,зарплата; винагорода,винаґродзенє
1121,lista obecności,табель; список присутніх,ліста обецнощчі
1122,podpisywać,підписувати,подписивaч
1123,skan,скан,скан
1124,kopia dokumentu,копія документа,копя документу
1125,oryginał,оригінал,оригінау
1126,termin ważności,строк дії,термін важності
1127,przedłużenie,продовження,пшедлуженє
1128,wypełnić,заповнити,випеунич
1129,puste pole,порожнє поле,пусте поле
1130,błąd w formularzu,помилка в бланку,блонd в формуляжу
1131,poprawić,виправити,поправіч
1132,złożyć wniosek,подати заяву,зложич вньосек
1133,odebrać numer,взяти номерок,одебрач нумер
1134,wywołać numer,викликати номер,вивоуач нумер
1135,czytelny,читабельний; розбірливий,чительни
1136,nieczytelny,нерозбірливий,нєчительни
1137,komplet dokumentów,повний пакет документів,комплет документув
1138,brak dokumentu,відсутність документа,брак документу
1139,dodatkowy dokument,додатковий документ,додаткови документ
1140,opłacić,оплатити,опуачич
1141,potwierdzenie wpłaty,підтвердження оплати,потвєрдженє впуати
1142,kasa samoobsługowa,касa самообслуговування,каса самообслуговaня
1143,paragon fiskalny,фіскальний чек,параґон фіскальний
1144,faktura VAT,рахунок-фактура ПДВ,фактура ват
1145,termin realizacji,строк виконання,термін реалізації
1146,odebrać osobiście,забрати особисто,одебрач особішчє
1147,wysłać pocztą,надіслати поштою,висуач почтою
1148,poczta elektroniczna,електронна пошта,пошта електронічна
1149,załącznik do maila,вкладення до листа,заулончнік до майла
1150,sprawdzić status,перевірити статус,справджич статус
1151,potwierdzić wizytę,підтвердити візит,потвєрджич візит
1152,odwołać wizytę,скасувати візит,одвоуач візит
1153,zmienić termin,змінити дату,змєніч термін
1154,czekać w kolejce,стояти в черзі,чекач в колєйцє
1155,pierwszeństwo,першочерговість,пєрвшеньство
1156,obsługa klienta,обслуговування клієнтів,обсвуга клієнта
1157,informacja,довідка; інформація,інформація
1158,punkt informacyjny,інформаційне вікно,пункт інформaційни
1159,formularz online,онлайн-форма,формулярш онлайн
1160,złożyć online,подати онлайн,зложич онлайн
1161,podpis elektroniczny,електронний підпис,подпіс електронічни
1162,profil zaufany,довірений профіль,профіль зауфани
1163,dane osobowe,персональні дані,данє особове
1164,PESEL,PESEL (персональний номер),песель
1165,numer sprawy,номер справи,нумер справи
1166,status sprawy,статус справи,статус справи
1167,rozpatrywanie,розгляд (процесу),рошпатшиванє
1168,decyzja odmowna,відмова,децизйя одмовна
1169,decyzja pozytywna,позитивне рішення,децизйя позитивна
1170,termin odbioru,дата отримання,термін одбіору
1171,pokwitowanie,квитанція; підтвердження,поквітованє
1172,odbiór osobisty,особисте отримання,одбіур особісти
1173,wysłać list,надіслати лист,висуач ліст
1174,list polecony,рекомендований лист,ліст полецони
1175,potwierdzenie nadania,підтвердження відправлення,потвєрдженє надання
1176,adres zamieszkania,адреса проживання,адрес замєшканя
1177,meldunek,реєстрація місця проживання,мелдунек
1178,zameldować się,зареєструватися,замелдовач ше
1179,wymeldować się,знятися з реєстрації,вимелдовач ше
1180,czas pobytu,строк перебування,час побиту
1181,karta pobytu,карта побиту,карта побиту
1182,zezwolenie,дозвіл,зезволенє
1183,przedłużenie pobytu,продовження перебування,пшедлуженє побиту
1184,odmowa wydania,відмова у видачі,одмова виданя
1185,uzupełnić dokumenty,доповнити документи,узупеунич документі
1186,brak formalny,формальна помилка,брак формальний
1187,wezwać do uzupełnienia,викликати для доповнення,везвач до узупеуня
1188,termin odpowiedzi,строк відповіді,термін одповєджі
1189,udzielić informacji,надати інформацію,удзєліч інформaції
1190,urzędowe godziny,офіційні години прийому,уржондове ґодзіни
1191,dyżur popołudniowy,післяобіднє чергування,дижур пополудньови
1192,przerwa techniczna,технічна перерва,пшэрва технічна
1193,brak systemu,збій системи,брак системи
1194,awaria systemu,аварія системи,аварія системи
1195,naprawa systemu,ремонт системи,направa системи
1196,ponowne uruchomienie,повторний запуск,поновне урухомєнє
1197,czas oczekiwania,час очікування,час очеківаня
1198,wydłużony czas,подовжений час,видлужони час
1199,przyjąć interesanta,прийняти відвідувача,пшиянч інтересанта
1200,zamknąć sprawę,закрити справу,замкноньч справу
